PERMNO,PERMCO,HTICK,HTSYMBOL,CUSIP
10814,8703,,DOCP,24624410
10815,22227,,,11099190
10816,5232,,AFSI,00690110
10817,8312,,MAXM,57790710
10818,8704,,,66993010
10819,9762,,CDCOC,17176320
10820,8706,,VSTR,92545410
10821,8707,,SCOT,80938610
10822,8710,,GAN,36312730
10823,20338,,,49337510
10824,7087,,ADVLQ,00690210
10825,8711,,TSFG,83784110
10826,8712,,SATLE,80389610
10827,8713,,,21164210
10828,8714,,BHAG,05544610
10829,8715,,LCBI,51505710
10830,8716,,STRB,86331810
10831,22228,,,11499090
10832,22229,,,00708610
10833,8717,,WMBS,95425010
10834,8718,,FMLY,30688310
10835,8719,,MILW,60229910
10836,8720,,CTVS,15633110
10837,8615,,USRV,90294110
10838,8721,,CYTR,23282860
10839,8722,,HFIN,44041R10
10840,8723,,ENTI,45856510
10841,8724,,FUEL,39830010
10842,8726,,SAZZ,80584210
10843,8727,,AGII,04015710
10844,8728,,IRWN,46414010
10845,8729,,HUFK,44432210
10846,8730,,VIDO,69915410
10847,8731,,FRSH,35803310
10848,8732,,CTRNC,22079910
10849,8733,,SPKR,84855F10
10850,8735,,MFSB,72345010
10851,8736,,KCFB,49471810
10852,8737,,IINC,45719710
10853,8738,,RENT,76017410
10854,8739,,NSSB,66943110
10855,8740,,HNCP,43726010
10856,9759,,CMODE,17185430
10857,8742,,PLAY,72790310
10858,22230,,,11499190
10859,60,,,00723510
10860,8743,OSUR,OSUR,68554V10
10861,8744,,CLICC,17960410
10862,8746,,ADMR,00709330
10863,8745,,ECTL,28444710
10864,8747,,TYRE,30215930
10865,8748,,AHCSE,02145210
10866,20342,CAL,CAL,12950010
10867,76,,ADVC,00738310
10868,8749,,JAMY,46608910
10869,8750,,HDRP,40414810
10870,8751,,,69334410
10871,8752,,SPAIB,86277010
10872,8753,,,31165420
10873,8754,,SFBM,81423910
10874,20344,BC,BC,11704310
10875,347,,AROS,00750D10
10876,8755,,RHT,76657310
10877,8756,,HMSB,43691110
10878,9751,,CWII,20342150
10879,8758,,GROSQ,39921510
10880,8759,,,59164510
10881,8760,,ANLT,03268340
10882,22231,,,11799090
10883,6854,,ACTH,00750310
10884,8761,,EDGC,27981310
10885,8763,,PCSI,69325510
